Diametro (m),Presion (Pa),Velocidad (m/s),Flujo Volumetrico (m³/s),Reynolds
0.01,10000.0,0.01,0.00024543692606170255,100.00000000000001
0.01,10000.0,0.12,0.00024543692606170255,1200.0
0.01,20000.0,0.01,0.0004908738521234051,100.00000000000001
0.01,20000.0,0.12,0.0004908738521234051,1200.0
0.01,30000.0,0.01,0.0007363107781851077,100.00000000000001
0.01,30000.0,0.12,0.0007363107781851077,1200.0
0.01,40000.0,0.01,0.0009817477042468102,100.00000000000001
0.01,40000.0,0.12,0.0009817477042468102,1200.0
0.01,50000.0,0.01,0.0012271846303085127,100.00000000000001
0.01,50000.0,0.12,0.0012271846303085127,1200.0
0.01,60000.0,0.01,0.0014726215563702154,100.00000000000001
0.01,60000.0,0.12,0.0014726215563702154,1200.0
0.01,70000.0,0.01,0.0017180584824319182,100.00000000000001
0.01,70000.0,0.12,0.0017180584824319182,1200.0
0.01,80000.0,0.01,0.0019634954084936204,100.00000000000001
0.01,80000.0,0.12,0.0019634954084936204,1200.0
0.01,90000.0,0.01,0.0022089323345553234,100.00000000000001
0.01,90000.0,0.12,0.0022089323345553234,1200.0
0.01,100000.0,0.01,0.0024543692606170254,100.00000000000001
0.01,100000.0,0.12,0.0024543692606170254,1200.0
0.020000000000000004,10000.0,0.01,0.003926990816987244,200.00000000000006
0.020000000000000004,20000.0,0.01,0.007853981633974489,200.00000000000006
0.020000000000000004,30000.0,0.01,0.011780972450961734,200.00000000000006
0.020000000000000004,40000.0,0.01,0.015707963267948977,200.00000000000006
0.020000000000000004,50000.0,0.01,0.01963495408493622,200.00000000000006
0.020000000000000004,60000.0,0.01,0.023561944901923468,200.00000000000006
0.020000000000000004,70000.0,0.01,0.02748893571891071,200.00000000000006
0.020000000000000004,80000.0,0.01,0.031415926535897955,200.00000000000006
0.020000000000000004,90000.0,0.01,0.0353429173528852,200.00000000000006
0.020000000000000004,100000.0,0.01,0.03926990816987244,200.00000000000006
0.030000000000000006,10000.0,0.01,0.019880391010997926,300.0000000000001
0.030000000000000006,20000.0,0.01,0.03976078202199585,300.0000000000001
0.030000000000000006,30000.0,0.01,0.05964117303299377,300.0000000000001
0.030000000000000006,40000.0,0.01,0.0795215640439917,300.0000000000001
0.030000000000000006,50000.0,0.01,0.09940195505498961,300.0000000000001
0.030000000000000006,60000.0,0.01,0.11928234606598755,300.0000000000001
0.030000000000000006,70000.0,0.01,0.13916273707698545,300.0000000000001
0.030000000000000006,80000.0,0.01,0.1590431280879834,300.0000000000001
0.030000000000000006,90000.0,0.01,0.17892351909898133,300.0000000000001
0.030000000000000006,100000.0,0.01,0.19880391010997922,300.0000000000001
0.04000000000000001,10000.0,0.01,0.06283185307179591,400.0000000000001
0.04000000000000001,20000.0,0.01,0.12566370614359182,400.0000000000001
0.04000000000000001,30000.0,0.01,0.18849555921538774,400.0000000000001
0.04000000000000001,40000.0,0.01,0.25132741228718364,400.0000000000001
0.04000000000000001,50000.0,0.01,0.31415926535897953,400.0000000000001
0.04000000000000001,60000.0,0.01,0.3769911184307755,400.0000000000001
0.04000000000000001,70000.0,0.01,0.4398229715025714,400.0000000000001
0.04000000000000001,80000.0,0.01,0.5026548245743673,400.0000000000001
0.04000000000000001,90000.0,0.01,0.5654866776461632,400.0000000000001
0.04000000000000001,100000.0,0.01,0.6283185307179591,400.0000000000001
0.05000000000000001,10000.0,0.01,0.15339807878856423,500.0000000000001
0.05000000000000001,20000.0,0.01,0.30679615757712847,500.0000000000001
0.05000000000000001,30000.0,0.01,0.4601942363656927,500.0000000000001
0.05000000000000001,40000.0,0.01,0.6135923151542569,500.0000000000001
0.05000000000000001,50000.0,0.01,0.7669903939428211,500.0000000000001
0.05000000000000001,60000.0,0.01,0.9203884727313854,500.0000000000001
0.05000000000000001,70000.0,0.01,1.0737865515199494,500.0000000000001
0.05000000000000001,80000.0,0.01,1.2271846303085139,500.0000000000001
0.05000000000000001,90000.0,0.01,1.3805827090970781,500.0000000000001
0.05000000000000001,100000.0,0.01,1.5339807878856422,500.0000000000001
0.06000000000000001,10000.0,0.01,0.3180862561759668,600.0000000000002
0.06000000000000001,20000.0,0.01,0.6361725123519336,600.0000000000002
0.06000000000000001,30000.0,0.01,0.9542587685279004,600.0000000000002
0.06000000000000001,40000.0,0.01,1.2723450247038672,600.0000000000002
0.06000000000000001,50000.0,0.01,1.5904312808798338,600.0000000000002
0.06000000000000001,60000.0,0.01,1.9085175370558007,600.0000000000002
0.06000000000000001,70000.0,0.01,2.2266037932317673,600.0000000000002
0.06000000000000001,80000.0,0.01,2.5446900494077345,600.0000000000002
0.06000000000000001,90000.0,0.01,2.862776305583701,600.0000000000002
0.06000000000000001,100000.0,0.01,3.1808625617596675,600.0000000000002
0.07,10000.0,0.01,0.5892940594741481,700.0000000000001
0.07,20000.0,0.01,1.1785881189482963,700.0000000000001
0.07,30000.0,0.01,1.7678821784224443,700.0000000000001
0.07,40000.0,0.01,2.3571762378965926,700.0000000000001
0.07,50000.0,0.01,2.9464702973707406,700.0000000000001
0.07,60000.0,0.01,3.5357643568448887,700.0000000000001
0.07,70000.0,0.01,4.125058416319037,700.0000000000001
0.07,80000.0,0.01,4.714352475793185,700.0000000000001
0.07,90000.0,0.01,5.303646535267333,700.0000000000001
0.07,100000.0,0.01,5.892940594741481,700.0000000000001
0.08,10000.0,0.01,1.0053096491487337,800.0000000000001
0.08,20000.0,0.01,2.0106192982974673,800.0000000000001
0.08,30000.0,0.01,3.015928947446201,800.0000000000001
0.08,40000.0,0.01,4.021238596594935,800.0000000000001
